"rid", "binaryID"
12213,100000000100010000000000000
13675,100000000100010000000000001
13524,100000000100010000000000010
12718,100000000100010000000001000
12214,1000000001000100000000000000
13674,1000000001000100000000000001
13521,1000000001000100000000000010
12719,1000000001000100000000010000
13516,1000000001000100000000010001
12215,10000000010001000000000000000
13520,10000000010001000000000000010
12720,10000000010001000000000100000
13495,10000000010001000000000100001
12886,10000000010001000000000100010
13491,10000000010001000000000100011
12216,100000000100010000000000000000
12682,100000000100010000000000000001
13492,100000000100010000000000000100
12721,100000000100010000000001000000
13528,100000000100010000000001000001
12217,1000000001000100000000000000000
13712,1000000001000100000000000000001
12683,1000000001000100000000000000010
12519,1000000001000100000000010000000
12722,1000000001000100000000010000001
12218,10000000010001000000000000000000
13711,10000000010001000000000000000001
13673,10000000010001000000000000000010
12516,10000000010001000000000000000100
12684,10000000010001000000000000000101
12520,10000000010001000000000100000010
12723,10000000010001000000000100000011
12219,100000000100010000000000000000000
13710,100000000100010000000000000000001
13532,100000000100010000000000000000010
12685,100000000100010000000000000001010
12828,100000000100010000000000000001011
13526,100000000100010000000001000000110
13527,100000000100010000000001000000111
9280,1000000001000100000000000000000000
12220,1000000001000100000000000000000001
13533,1000000001000100000000000000000010
13490,1000000001000100000000000000000100
12686,1000000001000100000000000000010100
12827,1000000001000100000000000000010101
12724,1000000001000100000000010000001110
9281,10000000010001000000000000000000000
13672,10000000010001000000000000000000001
9269,10000000010001000000000000000000010
12515,10000000010001000000000000000000100
12687,10000000010001000000000000000101000
12860,10000000010001000000000000000101001
13493,10000000010001000000000100000011100
13494,10000000010001000000000100000011101
9282,100000000100010000000000000000000000
13671,100000000100010000000000000000000001
13530,100000000100010000000000000000000010
9270,100000000100010000000000000000000100
13523,100000000100010000000000000000000101
12688,100000000100010000000000000001010000
12854,100000000100010000000000000001010001
12850,100000000100010000000000000001010010
12851,100000000100010000000000000001010011
12517,100000000100010000000001000000111010
12518,100000000100010000000001000000111011
9283,1000000001000100000000000000000000000
13670,1000000001000100000000000000000000001
13522,1000000001000100000000000000000000010
13489,1000000001000100000000000000000000100
9271,1000000001000100000000000000000001000
13503,1000000001000100000000000000000001001
12689,1000000001000100000000000000010100000
12853,1000000001000100000000000000010100001
12845,1000000001000100000000000000010100100
12221,10000000010001000000000000000000000000
13669,10000000010001000000000000000000000001
13531,10000000010001000000000000000000000010
13026,10000000010001000000000000000000000100
13029,10000000010001000000000000000000000101
14377,10000000010001000000000000000000010000
12848,10000000010001000000000000000101000000
14401,10000000010001000000000000000101000001
12222,100000000100010000000000000000000000000
12797,100000000100010000000000000000000000001
13525,100000000100010000000000000000000000010
13488,100000000100010000000000000000000000100
13028,100000000100010000000000000000000001000
13030,100000000100010000000000000000000001010
9272,100000000100010000000000000000000100000
13506,100000000100010000000000000000000100001
12849,100000000100010000000000000001010000000
12852,100000000100010000000000000001010000001
12512,100000000100010000000000000001010000010
12690,100000000100010000000000000001010000011
12223,1000000001000100000000000000000000000000
13668,1000000001000100000000000000000000000001
12798,1000000001000100000000000000000000000010
9273,1000000001000100000000000000000001000000
13511,1000000001000100000000000000000001000001
13509,1000000001000100000000000000000001000010
12511,1000000001000100000000000000010100000100
12844,1000000001000100000000000000010100000101
12691,1000000001000100000000000000010100000110
12842,1000000001000100000000000000010100000111
12224,10000000010001000000000000000000000000000
13667,10000000010001000000000000000000000000001
13486,10000000010001000000000000000000000000010
12799,10000000010001000000000000000000000000100
13487,10000000010001000000000000000000000000101
9274,10000000010001000000000000000000010000000
13047,10000000010001000000000000000000010000001
12527,10000000010001000000000000000000010000010
13510,10000000010001000000000000000000010000011
12509,10000000010001000000000000000101000001100
12692,10000000010001000000000000000101000001101
12225,100000000100010000000000000000000000000000
13666,100000000100010000000000000000000000000001
12859,100000000100010000000000000000000000000010
12800,100000000100010000000000000000000000001000
13485,100000000100010000000000000000000000001010
9275,100000000100010000000000000000000100000000
13057,100000000100010000000000000000000100000001
12529,100000000100010000000000000000000100000100
12523,100000000100010000000000000000000100000110
12834,100000000100010000000000000001010000011000
12835,100000000100010000000000000001010000011001
12693,100000000100010000000000000001010000011010
12837,100000000100010000000000000001010000011011
12226,1000000001000100000000000000000000000000000
13665,1000000001000100000000000000000000000000001
12861,1000000001000100000000000000000000000000010
9276,1000000001000100000000000000000001000000000
13046,1000000001000100000000000000000001000000001
13059,1000000001000100000000000000000001000000010
13065,1000000001000100000000000000000001000000011
12694,1000000001000100000000000000010100000110100
12839,1000000001000100000000000000010100000110101
12227,10000000010001000000000000000000000000000000
12862,10000000010001000000000000000000000000000010
9277,10000000010001000000000000000000010000000000
13062,10000000010001000000000000000000010000000010
13061,10000000010001000000000000000000010000000100
13071,10000000010001000000000000000000010000000110
12695,10000000010001000000000000000101000001101000
12830,10000000010001000000000000000101000001101001
12228,100000000100010000000000000000000000000000000
12672,100000000100010000000000000000000000000000001
9278,100000000100010000000000000000000100000000000
13054,100000000100010000000000000000000100000000001
12696,100000000100010000000000000001010000011010000
12858,100000000100010000000000000001010000011010001
12831,100000000100010000000000000001010000011010010
12836,100000000100010000000000000001010000011010011
12229,1000000001000100000000000000000000000000000000
13664,1000000001000100000000000000000000000000000001
12673,1000000001000100000000000000000000000000000010
9279,1000000001000100000000000000000001000000000000
13036,1000000001000100000000000000000001000000000001
12507,1000000001000100000000000000010100000110100000
12697,1000000001000100000000000000010100000110100001
12829,1000000001000100000000000000010100000110100100
12840,1000000001000100000000000000010100000110100110
11070,10000000010001000000000000000000000000000000000
12230,10000000010001000000000000000000000000000000001
12868,10000000010001000000000000000000000000000000010
12513,10000000010001000000000000000000000000000000100
12674,10000000010001000000000000000000000000000000101
12508,10000000010001000000000000000101000001101000010
12698,10000000010001000000000000000101000001101000011
12833,10000000010001000000000000000101000001101001000
12857,10000000010001000000000000000101000001101001001
12841,10000000010001000000000000000101000001101001100
12843,10000000010001000000000000000101000001101001101
11071,100000000100010000000000000000000000000000000000
12231,100000000100010000000000000000000000000000000010
13663,100000000100010000000000000000000000000000000011
12846,100000000100010000000000000000000000000000001000
12847,100000000100010000000000000000000000000000001001
12514,100000000100010000000000000000000000000000001010
12675,100000000100010000000000000000000000000000001011
12699,100000000100010000000000000001010000011010000110
12832,100000000100010000000000000001010000011010000111
11072,1000000001000100000000000000000000000000000000000
12869,1000000001000100000000000000000000000000000000001
12232,1000000001000100000000000000000000000000000000100
13662,1000000001000100000000000000000000000000000000101
13661,1000000001000100000000000000000000000000000000110
12838,1000000001000100000000000000000000000000000010000
12676,1000000001000100000000000000000000000000000010110
12856,1000000001000100000000000000000000000000000010111
12700,1000000001000100000000000000010100000110100001100
13726,1000000001000100000000000000010100000110100001101
11073,10000000010001000000000000000000000000000000000000
12870,10000000010001000000000000000000000000000000000001
12233,10000000010001000000000000000000000000000000001000
13484,10000000010001000000000000000000000000000000001010
12677,10000000010001000000000000000000000000000000101100
13725,10000000010001000000000000000000000000000000101101
11074,100000000100010000000000000000000000000000000000000
12881,100000000100010000000000000000000000000000000000001
12864,100000000100010000000000000000000000000000000000010
12866,100000000100010000000000000000000000000000000000011
12234,100000000100010000000000000000000000000000000010000
13659,100000000100010000000000000000000000000000000010001
13483,100000000100010000000000000000000000000000000010100
12510,100000000100010000000000000000000000000000001011000
12678,100000000100010000000000000000000000000000001011001
11075,1000000001000100000000000000000000000000000000000000
12865,1000000001000100000000000000000000000000000000000110
12867,1000000001000100000000000000000000000000000000000111
12235,1000000001000100000000000000000000000000000000100000
13660,1000000001000100000000000000000000000000000000100001
12679,1000000001000100000000000000000000000000000010110010
13724,1000000001000100000000000000000000000000000010110011
11076,10000000010001000000000000000000000000000000000000000
12863,10000000010001000000000000000000000000000000000001100
12873,10000000010001000000000000000000000000000000000001101
12236,10000000010001000000000000000000000000000000001000000
13534,10000000010001000000000000000000000000000000001000001
12680,10000000010001000000000000000000000000000000101100100
12855,10000000010001000000000000000000000000000000101100101
11077,100000000100010000000000000000000000000000000000000000
12871,100000000100010000000000000000000000000000000000011010
12872,100000000100010000000000000000000000000000000000011011
12237,100000000100010000000000000000000000000000000010000000
13538,100000000100010000000000000000000000000000000010000001
12681,100000000100010000000000000000000000000000001011001000
